,subject_id,cage_num_of_subject,final_elo_rating,cohort,strain,experiment_type,rank
0,1.1,1,1000.6,pilot_2,C57,urine_marking,2.0
1,1.2,1,1036.1,pilot_2,C57,urine_marking,1.0
2,1.3,1,981.7,pilot_2,C57,urine_marking,3.0
3,1.4,1,981.6,pilot_2,C57,urine_marking,4.0
4,2.1,2,1019.4,pilot_2,C57,urine_marking,2.0
5,2.2,2,981.6,pilot_2,C57,urine_marking,3.0
6,2.3,2,1036.2,pilot_2,C57,urine_marking,1.0
7,2.4,2,962.8,pilot_2,C57,urine_marking,4.0
8,3.1,3,1037.3,pilot_2,C57,urine_marking,1.0
9,3.2,3,962.7,pilot_2,C57,urine_marking,4.0
10,3.3,3,1036.1,pilot_2,C57,urine_marking,2.0
11,3.4,3,963.9,pilot_2,C57,urine_marking,3.0
12,4.1,4,981.0,pilot_2,CD1,urine_marking,3.0
13,4.2,4,1055.6,pilot_2,CD1,urine_marking,1.0
14,4.3,4,999.0,pilot_2,CD1,urine_marking,2.0
15,4.4,4,964.4,pilot_2,CD1,urine_marking,4.0
16,5.1,5,945.0,pilot_2,CD1,urine_marking,3.0
17,5.2,5,1018.3,pilot_2,CD1,urine_marking,2.0
18,5.3,5,1018.4,pilot_2,CD1,urine_marking,1.0
19,5.4,5,1018.3,pilot_2,CD1,urine_marking,2.0
20,6.1,6,1035.6,pilot_2,CD1,urine_marking,1.0
21,6.2,6,962.2,pilot_2,CD1,urine_marking,3.0
22,6.3,6,1001.1,pilot_2,CD1,urine_marking,2.0
23,6.4,6,1001.1,pilot_2,CD1,urine_marking,2.0
